64474.109	3.661	-3.861	2.506309638e-10	5.158489497e-11	-5.158489497e-11
86289.492	9.277	-8.274	3.531544149e-10	8.61808773e-11	-8.61808773e-11
86306.291	7.522	-7.522	5.146769544e-10	1.100429568e-10	-1.100429568e-10
86328.558	10.328	-14.745	2.552921238e-10	6.204125697e-11	-6.204125697e-11
86346.864	7.066	-7.978	4.704564774e-10	1.058128239e-10	-1.058128239e-10
86365.213	8.776	-11.283	3.381869484e-10	7.73701782e-11	-7.73701782e-11
86384.519	9.528	-10.531	3.052746669e-10	7.40227362e-11	-7.40227362e-11
86406.960	9.653	-12.913	2.774562e-10	6.69577587e-11	-6.69577587e-11
86423.383	8.274	-6.77	4.123621488e-10	1.001484729e-10	-1.001484729e-10
86443.190	11.032	-11.533	2.746194675e-10	6.6695601e-11	-6.6695601e-11
86463.500	8.274	-9.277	3.600551451e-10	8.68911834e-11	-8.68911834e-11
86484.083	10.257	-12.308	3.021364563e-10	7.01261106e-11	-7.01261106e-11
86507.399	9.507	-13.059	3.29813526e-10	7.32378906e-11	-7.32378906e-11
86528.920	8.045	-12.014	3.799848591e-10	8.22990294e-11	-8.22990294e-11
86545.304	6.704	-8.339	4.911383568e-10	1.069171803e-10	-1.069171803e-10
86559.912	7.141	-7.903	4.794131307e-10	1.073692347e-10	-1.073692347e-10
86581.035	8.580	-13.983	3.642639903e-10	7.66327254e-11	-7.66327254e-11
91300.778	20.716	-24.416	2.592377697e-10	6.73865724e-11	-6.73865724e-11
91339.159	14.930	-17.665	3.996361404e-10	9.5182059e-11	-9.5182059e-11
91371.891	17.301	-17.801	3.311361627e-10	8.42435013e-11	-8.42435013e-11
91412.383	21.940	-23.192	2.412040281e-10	6.55454142e-11	-6.55454142e-11
91446.985	17.426	-12.662	4.016711013e-10	9.83232642e-11	-9.83232642e-11
91485.723	13.791	-21.312	3.673803273e-10	8.7885e-11	-8.7885e-11
91516.688	12.913	-17.175	3.949066905e-10	9.80585676e-11	-9.80585676e-11
91546.776	15.420	-17.175	3.533581779e-10	9.063873e-11	-9.063873e-11
91578.380	16.412	-16.183	3.989283081e-10	9.51525687e-11	-9.51525687e-11
91612.092	12.788	-17.3	3.97477815e-10	9.77591727e-11	-9.77591727e-11
91648.071	21.940	-23.191	2.452774653e-10	6.506170167e-11	-6.506170167e-11
91687.980	14.627	-17.969	3.800093367e-10	9.27277239e-11	-9.27277239e-11
91721.034	21.689	-18.428	2.842045311e-10	7.35068187e-11	-7.35068187e-11
91764.160	21.188	-21.437	2.57817483e-10	6.87396759e-11	-6.87396759e-11
91799.377	13.552	-14.029	4.510547244e-10	1.088951787e-10	-1.088951787e-10
91833.046	17.492	-20.118	3.261888882e-10	8.00858247e-11	-8.00858247e-11
91864.898	10.713	-14.36	5.464784346e-10	1.233012879e-10	-1.233012879e-10
91890.780	22.441	-15.169	3.04806663e-10	7.76721771e-11	-7.76721771e-11
91926.384	16.925	-13.163	3.945103617e-10	9.81170274e-11	-9.81170274e-11
91958.979	11.910	-15.67	4.294361211e-10	1.069745334e-10	-1.069745334e-10
91984.679	13.791	-13.79	6.95212665e-10	1.32903603e-10	-1.32903603e-10
92012.636	18.429	-14.166	3.584708715e-10	8.958411e-11	-8.958411e-11
92048.992	19.683	-17.927	3.046185891e-10	7.81366656e-11	-7.81366656e-11
92081.838	16.925	-13.163	3.997671216e-10	9.77031216e-11	-9.77031216e-11
92125.089	16.298	-26.326	2.820396957e-10	7.06625997e-11	-7.06625997e-11
92154.300	14.668	-12.912	4.303109349e-10	1.07537388e-10	-1.07537388e-10
92180.967	18.089	-11.999	4.139332722e-10	1.006969404e-10	-1.006969404e-10
92217.986	11.158	-18.93	3.922901913e-10	9.77213496e-11	-9.77213496e-11
92251.834	17.427	-22.691	2.819033112e-10	7.36465884e-11	-7.36465884e-11
92292.602	21.791	-23.341	2.580747582e-10	6.65417697e-11	-6.65417697e-11
92337.083	17.427	-22.691	2.906612142e-10	7.32270189e-11	-7.32270189e-11
92368.675	18.429	-14.166	3.717233436e-10	9.01396734e-11	-9.01396734e-11
92402.530	14.663	-15.425	4.482743034e-10	1.041810924e-10	-1.041810924e-10
92431.985	17.802	-14.793	3.60310272e-10	9.04804719e-11	-9.04804719e-11
92467.088	15.295	-17.3	3.615062241e-10	9.10752255e-11	-9.10752255e-11
92505.003	14.990	-22.62	3.559048899e-10	8.46020721e-11	-8.46020721e-11
92530.440	12.119	-10.447	5.696686821e-10	1.33479738e-10	-1.33479738e-10
92565.423	12.238	-22.864	3.555730101e-10	8.62360821e-11	-8.62360821e-11
92598.722	24.071	-21.06	2.467213182e-10	6.54447045e-11	-6.54447045e-11
92636.013	14.361	-13.22	4.825541406e-10	1.11983067e-10	-1.11983067e-10
92663.924	19.044	-13.551	3.750744312e-10	9.2516214e-11	-9.2516214e-11
92703.922	24.178	-20.953	2.662332855e-10	6.71248053e-11	-6.71248053e-11
92752.516	20.716	-24.416	2.580120669e-10	6.73976394e-11	-6.73976394e-11
92799.678	21.194	-26.445	2.490805422e-10	6.350351364e-11	-6.350351364e-11
92841.142	31.668	-20.27	5.01435354e-10	1.203279756e-10	-1.203279756e-10
92894.577	15.842	-21.767	3.436192179e-10	8.24429655e-11	-8.24429655e-11
92939.002	19.056	-28.583	2.248987566e-10	6.198006297e-11	-6.198006297e-11
96890.589	23.365	-34.303	3.439600164e-10	8.3860518e-11	-8.3860518e-11
96961.213	40.497	-47.259	1.762364415e-10	5.222495166e-11	-5.222495166e-11
